Field Name	en	ru
SGR_BATCH_RESULTS	Match Results	Привести результаты в соответствие
SGR_BATCH_RESULTS_NAME	Name	Имя
SGR_MATCHER	Matcher	Matcher
SGR_REMARKS	Remarks	Примечания
SGR_HISTO_DATASERIES	Matches	Совпадения
SGR_HISTO_TITLE	Quality of Matches	Качество совпадений
SGR_HISTO_X_AXIS	SGR Score	Оценка SGR
SGR_HISTO_Y_AXIS	Number of Records	Число записей
SGR_ERROR_SERVER_FAIL	Failed to fetch SGR results from the SGR server.	Не удалось получить результаты SGR с сервера SGR
SGR_ERROR_SERVER_FAILED_GETTING_INDICES	Failed to retrieve the list of available indices from the SGR server.	Не удалось получить список доступных индексов с сервера SGR
SGR_CANT_DELETE_MATCHER	Can't delete matcher because one or more match result sets still refer to it.	Невозможно удалить matcher, поскольку один или несколько наборов результатов сопоставления по-прежнему ссылаются на него.
SGR_CANT_DELETE_OPEN_MATCHER	Can't delete matcher because at least one SGR pane is using it.	Невозможно удалить matcher, поскольку его использует хотя бы одна панель SGR.
SGR_NO_MATCHER	No matcher selected.	Ни один matcher не выбран
SGR_NO_RESULTS	No matches found.	Совпадений не найдено
SGR_SHOW_RESULTS	Show SGR results.	Показать результаты SGR
SGR_REFRESH_RESULTS	Refresh SGR results. (F5)	Обновить результаты SGR (F5)
SGR_DO_BATCH	Process Data Set	Обработка набора данных
SGR_SELECT_MATCHER	Select Matcher	Выберите Matcher
SGR_MATCHER_NAME_REQUIRED_ERROR	The matcher's name must not be blank.	Имя matcher не должно быть пустым
SGR_BLANK_RESULTSET_NAME_ERROR	The match results name can not be blank.	Название результатов поиска совпадений не может быть пустым.
SGR_MATCHER_NAME	Name	Имя
SGR_INDEX	Index	Индекс
SGR_EXCLUDE	Exclude	Исключать
SGR_INST_CODE	Institution Code	Код учреждения
SGR_COLL_CODE	Collection Code	Код коллекции
SGR_SIMILARITY	Match Criteria	Критерии соответствия

# ContainersColObjPlugin
CNTR_CO_INUSE	The Collection Object with Catalog Number '%s' is already being used by a container.	Объект коллекции с каталожным номером '%s' уже используется контейнером

#ContainerPlugin
PARENT_CONTAINER	This Collection Object belongs to Container:	Этот объект коллекции принадлежит контейнеру:
CONTAINER	This Collection Object is the Container:	Этот объект коллекции является контейнером:
ASSOC_CONTR_INUSE	The container '%s' is already used by Collection Object '%s'	Контейнер '%s' уже используется объектом коллекции '%s'

#MorphBankPanel
MorphBankPanel.DetailsBtn	i	i
MorphBankPanel.ViewMBBtn	mb	mb
MorphBankPanel.PutBtn	Send	Отправить
MorphBankPanel.GetBtn	Get	Получить
MorphBankPanel.NotImageStatus	Not an image	Не является изображением
MorphBankPanel.NotMorphBankedStatus	Not Morphbanked	Не находится в Morphbank
MorphBankPanel.UpdatesNeededStatus	Updates required	Требуются обновления
MorphBankPanel.UpToDateStatus	Up to date	До настоящего времени
MorphBankPanel.MorphBankID	Morphbank ID:	Morphbank ID:
MorphBankPanel.URLDisplayError	Error displaying URL: %s	Ошибка при отображении URL: %s
MorphBankPanel.DetailsTitle	Morphbank Details	Morphbank подробности
MorphBankPanel.SendingToMorphbank	Sending data to Morphbank	Отправка данных в Morphbank
MorphBankPanel.MoreThanOneImageObjectCreated	Morphbank returned more than one image id.	Morphbank вернул более одного идентификатора изображения
MorphBankPanel.NoImageObjectCreated	Morphbank did not return an image id.	Morphbank не вернул идентификатор изображения
MorphBankPanel.SuccessfulImageInsert	The image was added to Morphbank.	Изображение было добавлено в Morphbank
MorphBankPanel.ImageInsertFailed	The image could not be added to Morphbank.	Изображение не может быть добавлено в Morphbank
MorphBankPanel.ImageFileUploadFailed	The contents of the image file could not be uploaded to Morphbank.\r\nYou may need to upload it manually from your Morphbank account.	Не удалось загрузить содержимое файла изображения в Morphbank. \r\nПопрубуйте загрузить его вручную со своей учетной записи Morphbank
MorphBankPanel.DetailBtnHint	Show details	Показать детали
MorphBankPanel.ViewMBBtnHint	View image at Morphbank	Посмотреть изображение на Morphbank
MorphBankPanel.PutBtnHint	Send to Morphbank	Отправить в Morphbank
MorphBankPanel.GetBtnHint	Get updates from Morphbank	Получать обновления от Morphbank
MorphBankPanel.SettingsIncompleteBtnHint	Please configure the Morphbank settings on the preferences form.	Пожалуйста, настройте параметры Morphbank в форме настроек
