Field Name	en	ru	ru_FilippovaN
ITMS_LOAN	Items on Loan	Предметы в заеме	Предметы в заеме
OVRDUE_LOANS	Overdue Loans	Просроченные заемы	Просроченные заемы
LOAN_OVERDUE	Loan Overdue	Просроченный заем	Просроченный заем
OPEN_LOANS	Open Loans	Открытые займы	Открытые займы
			
			
CAT_LAST_7DAYS	Cataloged Last 7 Days	Каталогизировано за последние 7 дней	Каталогизировано за последние 7 дней
CAT_LAST_30DAYS	Cataloged Last 30 Days	Каталогизировано за последние 30 дней	Каталогизировано за последние 30 дней
CAT_LAST_YR	Cataloged Last Year	Каталогизировано в прошлом году	Каталогизировано в прошлом году
			
TOP5_ACC_DIV	Top 5 Accessions By Division	Топ 5 образцов по отделам	Топ 5 образцов по отделам
PERMIT_EXP_YR	Permits Expiring This Year	Разрешения истекают в этом году	Разрешения истекают в этом году
CITES_EXP_TR	CITES Permits Expiring This Year	Разрешения CITES истекают в этом году	Разрешения CITES, которые истекают в этом году
NONCITES_EXP_TR	Non-CITES Permits Expiring This Year	Не-CITES разрешения которые истекают в этом году	Другие разрешения, которые истекают в этом году
			
HOLDINGS	Holdings	Удерживании	Хранения
DAT_ENT	Data Entry	Ввод данных	Ввод данных
LOANS	Loans	Заемствования	Заемы
LOC_GEO	Locality/Geography	Местность / География	Местонахождение/География
TAX_TREE	Taxonomic Tree	Таксономическое дерево	Таксономическое дерево
TAXON	Taxon	Таксон	Таксон
COUNT	Count	Количество	Количество
LOCS	Localities	Местонахождения	Местонахождения
			
SPECIMENS	Specimens	Образцы	Образцы
TYP_SPEC	Type Specimens	Тип образцов	Тип образцов
UNQ_FAM	Families Represented	Представленные семьи	Представлено семейств
UNQ_GEN	Genera Represented	Роды представлены	Представлено родов
UNQ_SPEC	Species Represented	Представленные виды	Представлено видов
			
GEO_ENT	Geography Entries	География Записи	Географические записи
COUNTRIES	Countries	Страны	Страны
PRCNT_GEOREF	Percentage Georeferenced	Процент с географической привязкой	Процент образцов с геопривязкой
NUMBER_GEOREF	Georeferenced Localities	Места с географической привязкой	Местонахождения с геопривязкой
CLASSES	Classes	Классы	Классы
ORDERS	Orders	Ряды	Ряды
FAMS	Families	Семьи	Семейства
GENERA	Genera	Роды	Роды
TYP_SPEC_CNT	Type Specimen Counts	Количество типов образцов	Количество типовых образцов
SPECIES	Species	Види	Виды
			
NO_TYP_SPEC	No Type Specimens	Образцы без типов	Нетиповые образцы
			
NUM_PREPS_PER_PREPS	Preparations Per Prep Type	Образцов на тип подготовки	Препаратов по типам
NO_NUM_PREPS_PER_PREPS	No Preparations Types	Нет типов препаратов	Препараты без типа
PREPTYPE	Prep Type	Тип подготовки	Тип препарата
			
PREPS_PT_SP	Preparations by Prep Type-Species	Образцов по типам подготовок	Препаратов по типам и видам
NO_PREPS_PT_SP	No Preparations by Prep Type-Species	Нет образцов по типам подготовок	Нет препаратов по типам и видам
PREP_BY_TYPE	Preparations by Type	Подготовок по типу	Препаратов по типам
PREP_BY_TYPE_LOTS	Preparations by Type: Lots/Total	Подготовок по типу: лоты / всего	Препаратов по типам: Лотки/Всего
PREPS	Preparations	Подготовки	Препараты
LOTS_TOTAL	Lots/Total	Много / Всего	Лотки/Всего
			
ATTACHMENT_BY_TBL	Attachments by Data Type	Вложения по типу данных	Приложения по типу данных
ATT_TBL	Data Type	Тип данных	Тип данных
