Field Name	en	ru	ru_FilippovaN
SEC_BAD_DBS_PERMS	<HTML>The Master user does not have the required privileges for the following databases.<br>Click the 'Fix Privileges' button to fix the privileges.	<HTML>Главный пользователь не обладает необходимыми привилегиями для следующих баз данных.<br>Нажмите кнопку «Исправить привилегии», чтобы исправить привилегии.	<HTML>Мастер-пользователь не обладает необходимыми правами для следующих баз данных.<br>Нажмите кнопку «Исправить права».
MSTR_PERMS_SET_OK	Master User's username and password have been reset.	Имя пользователя и пароль главного пользователя были сброшены.	Имя пользователя и пароль Мастер-пользователя были сброшены.
MSTR_PERMS_SET_ERR	There was an error resetting Master User's username and password.	Произошла ошибка при сбросе имени пользователя и пароля главного пользователя.	Произошла ошибка при сбросе имени пользователя и пароля Мастер-пользователя.
MSTR_HAS_PERM	Master User Accessible Databases	Базы данных, доступные для главного пользователя	Базы данных, доступные для Мастер-пользователя
MSTR_HAS_NOPERM	Master User Inaccessible Databases	Базы данных недоступны для главного пользователя	Базы данных, недоступные для Мастер-пользователя
MSTR_USR_DB	Users of Database: %s	Пользователи базы данных: %s	Пользователи базы данных: %s
MSTR_PERM_CHGED_TITLE	Privileges Changed	Привилегии изменены	Права изменены
MSTR_PERM_ADDED	Privileges were added for user '%s' for database '%s'	Добавлены привилегии для пользователя '%s' из базы данных '%s'	Добавлены права для пользователя '%s' из базы данных '%s'
MSTR_PERM_DEL	Privileges were removed for user '%s' from database '%s'	Привилегии были удалены для пользователя '%s' из базы данных '%s'	Права были удалены для пользователя '%s' из базы данных '%s'
MSTR_NUM_PERM_ADDED	Privileges were added for user '%s' on %d databases.	Были добавлены привилегии для пользователя '%s' в %d базах данных.	Были добавлены права для пользователя '%s' в %d базах данных.
MSTR_NUM_PERM_DEL	Privileges were removed for user '%s' on %d databases.	Привилегии были удалены для пользователя '%s' в %d базах данных.	Права были удалены для пользователя '%s' в %d базах данных.
MSTR_ERR_SETDB	Unable to set privileges for your master user on database '%s'	Невозможно установить привилегии для вашего основного пользователя в базе данных '%s'	Невозможно установить права для Мастер-пользователя в базе данных '%s'
MSTR_SAVE_CHANGES	Do you wish to save the changes?	Вы хотите сохранить изменения?	Хотите сохранить изменения?
MSTR_PERCENT_COMPLETE	% Complete	% Выполнено	% Выполнено
			
DO_GAIN_ACCESS	<HTML>The databases you have selected will be<BR> set to use the current Master username and password.<br>This will require all the users to have new Master keys created.<BR><BR>Do you wish to continue?	<HTML>Выбранные вами базы данных будут<BR> настроены на использование текущего мастер-имени пользователя и пароля..<br>Для этого всем пользователям потребуется создать новые мастер-ключи.<BR><BR>Хотите продолжить?	<HTML>Выбранные вами базы данных будут<BR> настроены на использование текущего Мастер-пользователя.<br>Для этого всем пользователям потребуется создать новые Мастер-ключи.<BR><BR>Хотите продолжить?
DO_LOOSE_ACCESS	<HTML>The databases you have selected will no longer<BR> be able to be accessed by Master login and by any of the current users.<BR><BR>Do you wish to continue?	<HTML>Выбранные вами базы данных больше не будут<BR>доступны для главного входа в систему и для любого из текущих пользователей.<BR><BR>Вы хотите продолжить?	<HTML>Выбранные вами базы данных больше не будут<BR>доступны для входа в систему Мастер-пользователя и для любого из текущих пользователей.<BR><BR>Хотите продолжить?
			
Geography	Geography	География	География
Storage	Storage	Место хранения	Место хранения
			
# Litho Tree			
Surface	Surface	Поверхность	Поверхность
SuperGroup	Super Group	Супер Групп	Супер-группа
LithoGroup	Litho Group	Лито Групп	Лито-группа
Formation	Formation	Формирование	Формирование
Member	Member	Член	Член
Bed	Bed	Постель	Слой
			
# Chronos Tree			
ErathemEra	Erathem/Era	Эратема / Eрa	Эратема/Eрa
SystemPeriod	System/Period	Система / Период	Система/Период
SeriesEpoch	Series/Epoch	Серия / Эпоха	Серия/Эпоха
StageAge	Stage/Age	Стадия / Возраст	Стадия/Возраст
			
# Tree Related			
Root	Root	Корень	Корень
Earth	Earth	Земной шар	Земной шар
Life	Life	Жизнь	Живое
Site	Site	Место нахождения	Место
			
SEC_EML_TITLE	User Only Change	Только изменение пользователя	Изменение пользователем
SEC_EML_MSG	The email address in the user record has changed,\nbut not in the agent record.	Адрес электронной почты в записи пользователя изменился,\n но не в записи агента	Адрес электронной почты изменился в записи пользователя,\n но не в записи агента
