Field Name	en	ru	ru_FilippovaN
CACHE_CLR	Clear Specify Cache	Очистить Specify кэш	Очистить Specify кэш
CACHE_DESC	Recovers disk space used temporarily.	Восстанавливает дисковое пространство, используемое на временной основе.	Восстанавливает дисковое пространство, используемое на временной основе.
VERS_CHECK	Version Checking	Проверка версии	Проверка версии
CHECK_UPDATES_STARTUP	Check For Updates At Startup	Проверить наличие обновлений при запуске	Проверять наличие обновлений при запуске
CHECK_FOR_UPDATES	Check For Updates	Проверить наличие обновлений	Проверять наличие обновлений
USAGE_STATS	Usage and Usability Statistics	Статистика использования и юзабилити	Статистика использования
SEND_USAGE	Send Anonymous UUS	Отправить анонимный UUS	Отправить анонимный UUS
SPECIFY_BG_IMG	Background Image	Фоновая картинка	Фоновая картинка
ISA_SEND_STATS	Send ISA/IA UUS	Отправить ISA / IA UUS	Отправить ISA / IA UUS
REP_IMG_PATH	Report Images Location	Указать расположение изображений	Указать расположение изображений
ISA_STATS_WARNING	You are required to send statistics when you have an ISA number.	Вы должны отправить статистику, когда у вас есть номер ISA.	При получении номера ISA вы обязаны отправлять статистику.
TABS.TITLE	Closing Tabs	Закрытие вкладок	Закрытие вкладок
TABS.ASKB4CLOSE	Ask me before closing tabs (otherwise, close the oldest tab)	Спросите меня перед закрытием вкладок (в противном случае закройте самую старую вкладку)	Спрашивать перед закрытием вкладок (в противном случае закрывать самую старую вкладку)
			
#Attachments			
ATTACHMENTS	Attachments	Вложения	Приложения
ATTCH_URL.TITLE	URL used to connect to the Web Server	URL-адрес, используемый для подключения к веб-серверу	URL-адрес, используемый для подключения к Веб-серверу
ATTCH_PATH.TITLE	The path to the repository location	Путь к хранилищу	Путь к хранилищу
USE_ATTACH_PATH	Use Attachment Path	Использовать путь для вложения	Использовать путь для приложений
USE_ATTACH_URL	Use Attachment Web Service	Использовать веб-сервис для вложения	Использовать веб-сервис для приложений
ATTACHMENT_LOC	File path	Путь к файлу	Путь к файлу
ATTACHMENT_URL	URL	URL	URL
ATTACHMENT_KEY	Key	Ключ	Ключ
ATTACHMENT_MAKE_PUBLIC	Make attachments public by default	Сделать вложения публичными по умолчанию	Сделать приложения публичными по умолчанию
			
OPENGL_WW	OpenGL / World Wind	OpenGL / World Wind	OpenGL / World Wind
USE_WORLDWIND	Use World Wind for Map Display	Используйте World Wind для отображения карты	Используйте World Wind для отображения карты
HAS_OPENGL	System can use OpenGL	Система может использовать OpenGL	Система может использовать OpenGL
CHECK_FOR_OPENGL	Check for OpenGL	Проверьте на OpenGL	Проверьте на OpenGL
			
NETWORK_PROXY	Network	Сеть	Сеть
NETWORK_PROXY_SET	Network Proxy Settings	Настройки сетевого прокси	Настройки сетевого прокси
PROXY_HOST	HTTP Host	HTTP хост	HTTP хост
PROXY_PORT	HTTP Port	HTTP порт	HTTP порт
PROXY_HOST_HTTPS	HTTPS Host	HTTPS хост	HTTPS хост
PROXY_PORT_HTTPS	HTTPS Port	HTTPS порт	HTTPS порт
			
#GOOGLE_EARTH			
GOOGLE_EARTH	Google Earth	Google Earth	Google Earth
ICON_PATH	Icon Image Path	Путь к изображению	Путь к изображению
PLACEMARK_BALLOON_CONFIG	Placemark Balloon Configuration	Конфигурация метки	Конфигурация геометки
USE_ORIG_EXCEL_HEADERS	Use Original Excel Headers	Используйте оригинальные заголовки Excel	Используйте оригинальные заголовки Excel
BALL_BG_CLR	Balloon BG Color	Цвет фона метки	Цвет фона геометки
BALL_TXT_CLR	Balloon Text Color	Цвет текста метки	Цвет текста геометки
PRI_URL	Primary URL	Основной URL	Основной URL
PRI_URL_TITLE	Primary URL Title	Заголовок основного URL	Заголовок основного URL
SEC_URL	Secondary URL	Вторичный URL	Вторичный URL
SEC_URL_TITLE	Secondary URL Title	Заголовок вторичного URL	Заголовок вторичного URL
GE_USE_KMZ	Use KMZ	Используйте KMZ	Используйте KMZ
			
#Morphbank			
MORPHBANK	Morphbank	Morphbank	Morphbank
MORPHBANK_DWC_MAPPING	Darwin Core Map	Darwin Core Map	Darwin Core Map
MORPHBANK_USERID	User ID#	ID пользователя#	ID# пользователя
MORPHBANK_GROUPID	Group ID#	ID группы#	ID# группы
MORPHBANK_BASE_URL	Base URL	Базовый URL	Базовый URL
MORPHBANK_IMAGEPOST_URL	Image Upload URL	URL для загрузки изображения	URL для загрузки изображения
			
#TREE			
TREE	Trees	Деревья	Деревья
ALL_TREES	All Trees	Все деревья	Все деревья
RESTORE_EXPANSION_STATE	Restore Expansion State	Восстановить состояние расширения	Восстановить состояние расширения
PROMPT_TO_REPLACE_SYNONYM	Prompt to Replace Taxon with Preferred Taxon	Спросить перед заменой Таксона на Предпочтительный Таксон	Спросить перед заменой Таксона на Принятый Таксон
DISPLAY_TAXON_AUTHOR	Display Taxon Author in the tree view	Показать автора таксона в виде дерева	Показать автора таксона в виде дерева
TAXON_TREE	Taxon Tree	Дерево Таксона	Дерево Таксона
TT_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже	Показать количество ниже
TT_COL_CLR_1	Column Color #1	Цвет столбца #1	Цвет столбца #1
TT_COL_CLR_2	Column Color #2	Цвет столбца #2	Цвет столбца #2
TT_SYN_CLR	Synonymy Color	Похожий цвет	Цвет синонима
			
GEO_TREE	Geography Tree	Географическое дерево	Географическое дерево
GT_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже	Показать количество ниже
GT_COL_CLR_1	Column Color #1	Цвет столбца #1	Цвет столбца #1
GT_COL_CLR_2	Column Color #2	Цвет столбца #2	Цвет столбца #2
GT_SYN_CLR	Synonymy Color	Похожий цвет	Цвет синонима
			
LITHO_TREE	Litho Tree	Литографическое дерево	Литографическое дерево
LT_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже	Показать количество ниже
LT_COL_CLR_1	Column Color #1	Цвет столбца #1	Цвет столбца #1
LT_COL_CLR_2	Column Color #2	Цвет столбца #2	Цвет столбца #2
LT_SYN_CLR	Synonymy Color	Похожий цвет	Цвет синонима
			
GEO_PERIOD_TREE	Geologic Time Period Tree	Дерево геологического периода времени	Дерево геологического периода времени
GP_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже	Показать количество ниже
GP_COL_CLR_1	Column Color #1	Цвет столбца #1	Цвет столбца #1
GP_COL_CLR_2	Column Color #2	Цвет столбца #2	Цвет столбца #2
GP_SYN_CLR	Synonymy Color	Похожий цвет	Цвет синонима
			
STORAGE_TREE	Storage Location Tree	Дерево расположения хранилища	Дерево места хранения
ST_SHOW_COUNTS_BELOW	Show Counts Below	Показать количество ниже	Показать количество ниже
ST_COL_CLR_1	Column Color #1	Цвет столбца #1	Цвет столбца #1
ST_COL_CLR_2	Column Color #2	Цвет столбца #2	Цвет столбца #2
ST_SYN_CLR	Synonymy Color	Похожий цвет	Цвет синонима
			
#VIEWS' LABELS			
V_EMAIL	Email	Email	Email
V_FORMATTING	Formatting	Форматирование	Форматирование
V_MISC	Misc.	Разное	Разное
V_SYSTEM	System	система	Система
V_GOOGLE_EARTH	Google Earth	Google Earth	Google Earth
V_TREE_OPTIONS	Tree Options	Варианты дерева	Опции Дерева
V_AUDITS	Auditing	Аудиторская проверка	Аудиторская проверка
V_WEBPORTAL	Web Portal	Веб-портал	Веб-портал
			
# Backup Restore			
MYSQL	MySQL	MySQL	MySQL
BCKRSTR_OPTIONS	MySQL Application Executable Locations	MySQL Расположение исполняемых приложений	MySQL Расположение исполняемых приложений
MYS_DUMP_PATH	mysqldump	mysqldump	mysqldump
MYS_RESTR_PATH	mysql	mysql	mysql
MYS_BCK_PATH	Backup Location	Местоположение резервных копий	Местоположение резервных копий
MYS_BACKUP	Backup	Резервирование	Резервирование
MYS_RESTORE	Restore	Восстановление	Восстановление
			
			
#Login Prefs			
LOGIN	Login Dialog	Диалог входа	Диалог входа
CLEAR_USERNAMES	Username List	Список имен	Список имен пользователей
CLEAR_DATABASES	Database Name List	Список имен баз данных	Список имен базы данных
CLEAR_SERVERS	Server Name List	Список имен серверов	Список имен сервера
CLEAR	Clear	Очистить	Очистить
			
# Loans Prefs			
LOANS	Loans	Заем	Заем
LOANS_BAR	Loan and Shipment Defaults	Заем и Отгрузки по умолчанию	Заем и Отправка по умолчанию
OVERDUETIME	Due in Months	Заем на месяцов	Длительность заема
SHIPMETH	Shipment Method	Способ отгрузки	Способ отправки
SHIPPEDBY	Shipped By	Отправлено	Кем отправлено
			
#GUIDs			
GUIDS	GUIDs	Идентификаторы GUID	Идентификаторы GUID
LSSEP	Automatic GUID Generation	Автоматическая генерация GUID	Автоматическая генерация GUID
LSADD	Additional Options	Дополнительные опции	Дополнительные опции
CREATE_GUIDS	Create GUIDs	Создать GUID	Создать GUID
			
COLLECTION_SEL	Initial Collection Selection	Начальный выбор коллекции	Начальный выбор коллекции
ALWAYS_ASK_COLL	Always ask for Collection at startup	Всегда запрашивать коллекцию при запуске	Всегда выбирать коллекцию при запуске
			
# GEOLocate			
GEOLocate	GEOLocate	GEOLocate	GEOLocate
GL_HYWX	Include highway crossings	Включить пересечения шоссе	Включить пересечения шоссе
GL_WATERBODY	Include water bodies	Включить водоемы	Включить водоемы
GL_RESTRICT	Restrict to the lowest administrative unit	Ограничить до низшей административной единицы	Ограничить до низшей административной единицы
GL_DOUNCERT	Return uncertainty radius in meters	Радиус неопределенности в метрах	Радиус неопределенности в метрах
GL_DOPOLY	Return error polygon	Вернуть полигон ошибок	Вернуть полигон ошибок
GL_DISPLACEPOLY	Displace error polygon	Сместить полигон ошибок	Сместить полигон ошибок
GL_LANGKEY	Language key	Языковой ключ	Языковой ключ
GL_USEGL_MAPS	Use GEOLocate's Map Server	Использовать картографический сервер GEOLocate	Использовать картографический сервер GEOLocate
			
# WorldWind			
WORLDWIND	WorldWind	WorldWind	WorldWind
			
#Symbiota			
SYMBIOTA	Symbiota	Symbiota	Symbiota
SymbiotaBaseURL	Base URL	Базовый URL	Базовый URL
SYMBIOTA_SHOW_TASK	Show Symbiota Task	Показать задачу Symbiota	Показать задачу Symbiota
			
MiscPrefsPanel.RestartRequired	You may have to restart Specify for your changes to take effect.	Возможно, вам придется перезапустить Specify, чтобы ваши изменения вступили в силу.	Возможно, вам придется перезапустить Specify, чтобы ваши изменения вступили в силу.
